"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1","Diboll Jr High, USA",31.1871319,-94.7810412,31.1471319,31.2271319,-94.8210412,-94.7410412
"2","Hallsville, USA",32.5043161,-94.5740934,32.4853305,32.5225175,-94.5953973,-94.5401813
"3","Springtown, USA",40.5564892,-75.2893441,40.5364892,40.5764892,-75.3093441,-75.2693441
"4","Plainview Field House, USA",34.8778559,-84.9443893,34.8578559,34.8978559,-84.9643893,-84.9243893
"5","Fairfield, USA",38.2493581,-122.0399663,38.158498,38.308742,-122.174914,-121.892073
"6","Brazos, USA",32.7676497,-98.214194,32.5575338,32.9811652,-98.5358479,-97.7963659
"7","City View, USA",34.8414507,-99.3520299,34.8214507,34.8614507,-99.3720299,-99.3320299
"8","Azle, USA",32.910378,-97.5519660558464,32.860218,32.9602813,-97.5912121,-97.5087161
"9","Creekview, USA",40.6609275,-112.0220114,40.6509275,40.6709275,-112.0320114,-112.0120114
"10","Northwest, USA",43.1561681,-75.8449946,40.477399,45.0158611,-79.761944,-71.7955694
"11","Wichita Falls, USA",33.9137085,-98.4933873,33.8356543,33.9964124,-98.6143877,-98.4243457
"12","Vidor, USA",30.1316001,-94.0154542,30.0897159,30.1865299,-94.0396107,-93.9083047
"13","Hardin Jefferson, USA",34.2812082,-92.1501455,34.2612082,34.3012082,-92.1701455,-92.1301455
"14","Needville, USA",29.3994101,-95.8377297,29.3800931,29.4128601,-95.8559991,-95.8193911
"15","Clute, USA",29.0246906,-95.3988291,29.0000046,29.0624586,-95.4225101,-95.3408571
"16","Cleburne, USA",32.3476438,-97.3866837,32.2779491,32.4474001,-97.5456662,-97.3462111
"17","Jacksboro, USA",33.2184477,-98.1586558,33.1840618,33.2507588,-98.195734,-98.112655
"18","Comanche, USA",37.1960944,-99.2958383,36.999221,37.38493,-99.54351,-99.0006798
"19","Whitney, USA",40.73964505,-74.0089209502898,40.739445,40.739821,-74.0094548,-74.0084222
"20","Elgin, USA",42.03726,-88.2810994,41.971373,42.103581,-88.4545654,-88.222773
"21","West Oso, USA",48.2722809,-121.9192383,48.25854,48.2976653,-121.942244,-121.8814681
"22","Coahoma, USA",34.1931314,-90.5653906,33.984718,34.5259009,-90.959317,-90.400352
"23","Dimmitt Texas, USA",34.550812,-102.3122713,34.467845,34.56062,-102.341733,-102.287092
"24","Old gym, USA",43.0364481,-87.9322750187354,43.0362699,43.0367074,-87.9328238,-87.9317259
"25","EDINBURG, USA",26.3013982,-98.1624501,26.2448246,26.4509177,-98.2260892,-98.0956362
"26","Vanderbilt, USA",35.3305443,-115.2510971,35.3105443,35.3505443,-115.2710971,-115.2310971
"27","Alice, USA",27.7522487,-98.0697249,27.713395,27.805902,-98.1091544,-98.017155
"28","HIGH SCHOOL, USA",37.5611249,-100.8840421,37.387756,37.736973,-101.090424,-100.65181
"29","Calhoun, USA",39.1397507,-90.6506113,38.8682885,39.4004719,-90.9372241,-90.4503448
"30","Sulphur Springs, USA",33.1384886,-95.6010143,33.092034,33.190797,-95.664651,-95.555419
"31","Bruceville-Eddy, USA",31.3051725,-97.251671,31.2778456,31.3409355,-97.2738912,-97.2146549
"32","Marshall, USA",35.9089643,-92.6312746,35.8927707,35.9219312,-92.6737751,-92.6022053
"33","Leon, USA",30.4683062,-84.2549068,30.273438,30.6853308,-84.715366,-83.977165
"34","Sabine, USA",31.5223049,-93.5265161,31.165581,31.845555,-93.8822552,-93.236145
"35","Yorktown, USA",37.2378875,-76.5080633,37.2287761,37.242553,-76.5254094,-76.5045803
"36","Legacy, USA",26.2533752,-98.2089358550934,26.2523419,26.2543999,-98.210089,-98.2079099
"37","Poteet, USA",29.0373552,-98.5746204,29.0234999,29.0504479,-98.5880709,-98.5600209
"38","Pace, USA",33.5787242,-83.9629653,33.5587242,33.5987242,-83.9829653,-83.9429653
"39","Fossil Ridge, USA",43.5399811,-103.5199169,43.5399311,43.5400311,-103.5199669,-103.5198669
"40","North Crowley High, USA",39.4090532,-123.4255665,39.3890532,39.4290532,-123.4455665,-123.4055665
"41","San Saba, USA",31.1957234,-98.718098,31.18216,31.205083,-98.7654414,-98.7074734
"42","JJ Pearce, USA",32.9727239,-96.7673389917393,32.9718096,32.9736393,-96.7685109,-96.7662088
"43","Conroe Oak Ridge, USA",30.3118769,-95.4560512,30.2026589,30.4199903,-95.6567012,-95.3909429
"44","Pearland, USA",29.5639758,-95.2864299,29.4974509,29.598335,-95.4468772,-95.2114282
"45","Woodrow Wilson Junior High, USA",37.26238105,-79.9866517508365,37.2619337,37.2626228,-79.9872041,-79.9860893
"46","Levelland, USA",33.5873164,-102.37796,33.537908,33.6083138,-102.401899,-102.326046
"47","Tahoka, USA",33.166872,-101.7928881,33.151692,33.174985,-101.817377,-101.775026
"48","PSJA Southwest, USA",26.17586075,-98.1671569412093,26.1708954,26.1782882,-98.170666,-98.1637818
"49","Decatur, USA",39.8454163,-88.9524151,39.7867965,39.9249642,-89.0323691,-88.8032028
"50","Perryton, USA",36.4000313,-100.8026505,36.354031,36.4266867,-100.828392,-100.747118
"51","Gainesville, USA",29.6519396,-82.3249961,29.5978845,29.7783723,-82.4222531,-82.2223771
