"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"2","Los Alamitos, USA",33.8038865,-118.0772433,33.7638865,33.8438865,-118.1172433,-118.0372433
"3","Chester, USA",39.849557,-75.3557458,39.8173125,39.8758445,-75.4080803,-75.3420899
"4","Fullerton, USA",33.8708215,-117.9294165,33.8541649,33.9244572,-117.9854168,-117.8637071
"5","Venice, USA",27.0998708,-82.4544132,27.0606769,27.1689377,-82.4678322,-82.3595769
"6","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"7","Modesto, USA",37.6390972,-120.9968782,37.521933,37.711443,-121.096473,-120.901239
"8","Chatsworth, USA",34.2595715,-118.6023247,34.2395715,34.2795715,-118.6223247,-118.5823247
"9","Pasadena, USA",34.1476452,-118.1444779,34.1172023,34.251905,-118.198139,-118.065479
"10","Los Alamitos, USA",33.8038865,-118.0772433,33.7638865,33.8438865,-118.1172433,-118.0372433
"11","Los Alamitos, USA",33.8038865,-118.0772433,33.7638865,33.8438865,-118.1172433,-118.0372433
"12","Bakersfield, USA",35.3738712,-119.0194639,35.193979,35.447975,-119.265033,-118.772341
"13","San Diego, USA",32.7174209,-117.1627714,32.5347839,33.114249,-117.3098053,-116.9057226
"14","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"15","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"16","Venice, USA",27.0998708,-82.4544132,27.0606769,27.1689377,-82.4678322,-82.3595769
"17","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"18","Modesto, USA",37.6390972,-120.9968782,37.521933,37.711443,-121.096473,-120.901239
"19","Chatsworth, USA",34.2595715,-118.6023247,34.2395715,34.2795715,-118.6223247,-118.5823247
"20","Chatsworth, USA",34.2595715,-118.6023247,34.2395715,34.2795715,-118.6223247,-118.5823247
"21","Los Alamitos, USA",33.8038865,-118.0772433,33.7638865,33.8438865,-118.1172433,-118.0372433
"22","Bakersfield, USA",35.3738712,-119.0194639,35.193979,35.447975,-119.265033,-118.772341
"23","San Diego, USA",32.7174209,-117.1627714,32.5347839,33.114249,-117.3098053,-116.9057226
"24","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"25","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"26","Venice, USA",27.0998708,-82.4544132,27.0606769,27.1689377,-82.4678322,-82.3595769
"27","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"28","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"29","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"30","Modesto, USA",37.6390972,-120.9968782,37.521933,37.711443,-121.096473,-120.901239
"31","Chatsworth, USA",34.2595715,-118.6023247,34.2395715,34.2795715,-118.6223247,-118.5823247
"32","Yuba City, USA",39.1404477,-121.6169108,39.087183,39.175451,-121.688874,-121.597591
"33","Chatsworth, USA",34.2595715,-118.6023247,34.2395715,34.2795715,-118.6223247,-118.5823247
"34","Los Angeles, USA",34.0536909,-118.2427666,33.7036216,34.337306,-118.6681867,-118.1552947
"35","Los Alamitos, USA",33.8038865,-118.0772433,33.7638865,33.8438865,-118.1172433,-118.0372433
"36","Bakersfield, USA",35.3738712,-119.0194639,35.193979,35.447975,-119.265033,-118.772341
"37","San Diego, USA",32.7174209,-117.1627714,32.5347839,33.114249,-117.3098053,-116.9057226
"38","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"39","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"40","Fresno, USA",36.7295295,-119.708861260756,36.728449,36.730442,-119.70935,-119.70836
"41","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"42","Venice Beach, USA",27.1000553,-82.4575967,27.0800553,27.1200553,-82.4775967,-82.4375967
"43","Grass Valley, USA",39.2086655,-121.053123077412,39.208076,39.209079,-121.053803,-121.052644
"44","Chatsworth, USA",34.2595715,-118.6023247,34.2395715,34.2795715,-118.6223247,-118.5823247
"45","Sacramento, USA",38.5815719,-121.4943996,38.437574,38.685506,-121.56012,-121.36274
"46","Los Angeles, USA",34.0536909,-118.2427666,33.7036216,34.337306,-118.6681867,-118.1552947
"47","Los Angeles, USA",34.0536909,-118.2427666,33.7036216,34.337306,-118.6681867,-118.1552947
"48","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"49","Saratoga, USA",43.0833231,-73.8712155,42.775459,43.3979655,-74.1601,-73.5732712
"50","Santa Maria, USA",34.9531295,-120.4358577,34.8755275,34.9892383,-120.5084085,-120.3543359
"51","Port St. Lucie, USA",27.2939333,-80.3503283,27.2055643,27.3744233,-80.481303,-80.2442686
"52","Costa Mesa, USA",33.6633386,-117.903317,33.625123,33.7020933,-117.9547143,-117.8639744
"53","Angola, USA",41.634874,-84.99928,41.617198,41.679145,-85.037364,-84.969898
"54","Rock Springs, USA",41.5869225,-109.2047867,41.559509,41.647696,-109.29124,-109.042179
"55","Rock Springs, USA",41.5869225,-109.2047867,41.559509,41.647696,-109.29124,-109.042179
"56","Portland, USA",45.5202471,-122.6741949,45.432536,45.6528812,-122.8367489,-122.4720252
"57","Norwalk, USA",41.1175966,-73.4078968,41.020449,41.17126,-73.474565,-73.379088
"58","Port St Lucie, USA",27.2939333,-80.3503283,27.2055643,27.3744233,-80.481303,-80.2442686
"59","Honolulu, USA",21.304547,-157.8556764,21.249038,21.401987,-157.954869,-157.647857
"60","Long Beach, USA",33.78538945,-118.158049315311,33.6905847,33.8855951,-118.248966,-118.0632825
"61","Grass Valley, USA",39.2086655,-121.053123077412,39.208076,39.209079,-121.053803,-121.052644
"62","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"63","Victoria, USA",28.8052674,-97.0035982,28.7633121,28.9057481,-97.0514347,-96.9002707
"64","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"65","San Luis Obispo, USA",35.2827525,-120.6596156,35.233002,35.31199,-120.722977,-120.6177728
"66","Blue Springs, USA",39.017316,-94.282265,38.9436905,39.066243,-94.337106,-94.221198
"67","Sacramento, USA",38.5815719,-121.4943996,38.437574,38.685506,-121.56012,-121.36274
"68","Port St Lucie, USA",27.2939333,-80.3503283,27.2055643,27.3744233,-80.481303,-80.2442686
"69","Fresno, USA",36.7295295,-119.708861260756,36.728449,36.730442,-119.70935,-119.70836
"70","Branson, USA",36.6411357,-93.2175285,36.594325,36.700907,-93.31472,-93.211345
"71","Niagara Falls, USA",43.1030928,-79.0302618,43.0642695,43.1320614,-79.0756475,-78.9423702
"72","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"73","Modesto, USA",37.6390972,-120.9968782,37.521933,37.711443,-121.096473,-120.901239
"74","Marietta, USA",33.9528472,-84.5496148,33.8955874,34.00117,-84.616806,-84.467938
"75","Victoria, USA",28.8052674,-97.0035982,28.7633121,28.9057481,-97.0514347,-96.9002707
"76","Camp Pendleton, USA",45.672075,-118.7885967,45.6397206,45.7110714,-118.8818633,-118.7498083
"77","Bangor, USA",44.8011821,-68.7778138,44.777822,44.8801777,-68.859181,-68.718778
"78","Los Angeles, USA",34.0536909,-118.2427666,33.7036216,34.337306,-118.6681867,-118.1552947
"79","Los Angeles, USA",34.0536909,-118.2427666,33.7036216,34.337306,-118.6681867,-118.1552947
"80","Concord, USA",43.207178,-71.537476,43.151787,43.309816,-71.66871,-71.4567505
"81","Buffalo, USA",42.8867166,-78.8783922,42.8260387,42.9664686,-78.9194528,-78.7951677
"82","Mesa, USA",33.4151117,-111.8314773,33.277624,33.513376,-111.8939822,-111.5806478
"83","Corona, USA",33.8752945,-117.5664449,33.8000147,33.9161643,-117.6731117,-117.4838074
"84","Callahan, USA",32.2810409,-99.3612437,32.0796151,32.5151062,-99.6323551,-99.1142985
"85","Honolulu, USA",21.304547,-157.8556764,21.249038,21.401987,-157.954869,-157.647857
"86","Fresno, USA",36.7295295,-119.708861260756,36.728449,36.730442,-119.70935,-119.70836
"87","Austin, USA",30.2711286,-97.7436995,30.0984576,30.5166255,-97.9367663,-97.5605292
"88","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"89","Branson, USA",36.6411357,-93.2175285,36.594325,36.700907,-93.31472,-93.211345
"90","Santa Barbara, USA",34.4221319,-119.7026673,34.336029,34.463922,-119.859791,-119.639946
"91","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"92","Jonesboro, USA",35.8428646,-90.7034522,35.7486188,35.8934046,-90.7858683,-90.5515365
"93","Baltimore, USA",39.2847494,-76.6204746396999,39.1972328,39.3719713,-76.7112977,-76.5296757
"94","Santa Maria, USA",34.9531295,-120.4358577,34.8755275,34.9892383,-120.5084085,-120.3543359
"95","Bloomington, USA",39.1670396,-86.5342881,39.1213291,39.2213618,-86.5918944,-86.4711305
"96","Port St Lucie, USA",27.2939333,-80.3503283,27.2055643,27.3744233,-80.481303,-80.2442686
"97","Kennewick, USA",46.2083948,-119.1202072,46.160835,46.2401577,-119.2670002,-119.087144
"98","Minneapolis, USA",44.9772995,-93.2654692,44.89015,45.05125,-93.329163,-93.1938584
"99","Dallas, USA",32.7762719,-96.7968559,32.613216,33.0239366,-97.000482,-96.4636317
"100","Costa Mesa, USA",33.6633386,-117.903317,33.625123,33.7020933,-117.9547143,-117.8639744
"101","Blue Springs, USA",39.017316,-94.282265,38.9436905,39.066243,-94.337106,-94.221198
"102","Angola, USA",41.634874,-84.99928,41.617198,41.679145,-85.037364,-84.969898
"103","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"104","Austin, USA",30.2711286,-97.7436995,30.0984576,30.5166255,-97.9367663,-97.5605292
"105","Rock Springs, USA",41.5869225,-109.2047867,41.559509,41.647696,-109.29124,-109.042179
"106","Rock Springs, USA",41.5869225,-109.2047867,41.559509,41.647696,-109.29124,-109.042179
"107","Port St Lucie, USA",27.2939333,-80.3503283,27.2055643,27.3744233,-80.481303,-80.2442686
"108","Norwalk, USA",41.1175966,-73.4078968,41.020449,41.17126,-73.474565,-73.379088
"109","Oneonta, USA",42.453492,-75.0629531,42.413492,42.493492,-75.1029531,-75.0229531
"110","Peoria, USA",40.6938609,-89.5891008,40.651938,40.844085,-89.698915,-89.546494
"111","West Plains, USA",36.7281652,-91.8525756,36.699462,36.799514,-91.913294,-91.816411
"112","Honolulu, USA",21.304547,-157.8556764,21.249038,21.401987,-157.954869,-157.647857
"113","Jonesboro, USA",35.8428646,-90.7034522,35.7486188,35.8934046,-90.7858683,-90.5515365
"114","Grass Valley, USA",39.2086655,-121.053123077412,39.208076,39.209079,-121.053803,-121.052644
"115","Long Beach, USA",33.78538945,-118.158049315311,33.6905847,33.8855951,-118.248966,-118.0632825
