"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1","Levis, Canada",46.7910096,-71.1753274,46.5721827,46.8422475,-71.5189217,-70.9937811
"2","Calgary, Canada",51.02532675,-114.049868485806,50.842526,51.2125013,-114.3157587,-113.8600018
"3","Kitchener, Canada",43.453168,-80.494423,43.3538756,43.5068282,-80.5734577,-80.3784145
"4","Kitchener, Canada",43.453168,-80.494423,43.3538756,43.5068282,-80.5734577,-80.3784145
"5","Swift Current, Canada",50.285829,-107.800598,50.2587944,50.3245594,-107.8380701,-107.7562876
"6","Ste-Marie de Beauce, Canada",46.450395,-71.030731,46.3699975,46.5143681,-71.0893251,-70.9196227
"7","Niagara, Canada",43.0631891,-79.3098089,42.4231891,43.7031891,-79.9498089,-78.6698089
"8","Nanaimo, Canada",49.1637594,-123.9379719,49.097468,49.2521065,-124.065062,-123.8007369
"9","Nanaimo, Canada",49.1637594,-123.9379719,49.097468,49.2521065,-124.065062,-123.8007369
"10","Ste-Marie de Beauce, Canada",46.450395,-71.030731,46.3699975,46.5143681,-71.0893251,-70.9196227
"11","Kitchener, Canada",43.453168,-80.494423,43.3538756,43.5068282,-80.5734577,-80.3784145
"12","Kitchener, Canada",43.453168,-80.494423,43.3538756,43.5068282,-80.5734577,-80.3784145
"13","Vancouver, Canada",49.2608724,-123.1139529,49.1984452,49.3161714,-123.2249611,-123.0232419
"14","Hamilton, Canada",43.2425289,-79.9470423,43.0505073,43.4706941,-80.2485579,-79.6222152
"15","Vancouver, Canada",49.2608724,-123.1139529,49.1984452,49.3161714,-123.2249611,-123.0232419
"16","Hamilton, Canada",43.2425289,-79.9470423,43.0505073,43.4706941,-80.2485579,-79.6222152
"17","Fortune, Canada",47.0632962,-55.82923,46.9930359,47.0905113,-55.9440023,-55.7900791
"18","Bridgewater, Canada",44.3774134,-64.5193946,44.3575967,44.4054996,-64.5642674,-64.4887495
"19","Falun, Canada",52.9596558,-113.8370249,52.9496558,52.9696558,-113.8470249,-113.8270249
"20","Ste-Marie de Beauce, Canada",46.450395,-71.030731,46.3699975,46.5143681,-71.0893251,-70.9196227
"21","Moose Jaw, Canada",50.401515,-105.542908,50.3527224,50.4341985,-105.6265988,-105.4659391
"22","London, Canada",42.988576,-81.246643,42.828576,43.148576,-81.406643,-81.086643
"23","Leduc, Canada",53.2607636,-113.5501238,53.1007636,53.4207636,-113.7101238,-113.3901238
"24","Leduc, Canada",53.2607636,-113.5501238,53.1007636,53.4207636,-113.7101238,-113.3901238
"25","Winnipeg, Canada",49.884017,-97.168579,49.7135538,49.9940075,-97.3491505,-96.9565293
"26","Kelowna, Canada",49.889326,-119.498291,49.772822,50.0254575,-119.5890596,-119.3197826
"27","Kelowna, Canada",49.889326,-119.498291,49.772822,50.0254575,-119.5890596,-119.3197826
"28","Toronto, Canada",43.653963,-79.387207,43.493963,43.813963,-79.547207,-79.227207
"29","Toronto, Canada",43.653963,-79.387207,43.493963,43.813963,-79.547207,-79.227207
"30","Toronto, Canada",43.653963,-79.387207,43.493963,43.813963,-79.547207,-79.227207
"31","Ste. Marie de Beauce, Canada",46.450395,-71.030731,46.3699975,46.5143681,-71.0893251,-70.9196227
"32","Calgary, Canada",51.02532675,-114.049868485806,50.842526,51.2125013,-114.3157587,-113.8600018
"33","Stephenville, Canada",48.5452022,-58.5871146,48.499589,48.5778193,-58.6105289,-58.4841497
