"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1","Vacaville, USA",38.3565773,-121.9877444,38.3083067,38.418291,-122.032454,-121.8949061
"2","Omaha, USA",41.2587317,-95.9378732,41.1905882,41.3930618,-96.2682,-95.871141
"3","D'lberville, USA",30.394087,-88.9994786,30.394037,30.394137,-88.9995286,-88.9994286
"4","Hurricane, USA",37.1750272,-113.289888,37.0723799,37.2145558,-113.449028,-113.2556351
"5","Anaheim, USA",33.8347516,-117.911732,33.7889241,33.8790572,-118.0174211,-117.6735595
"6","Lynden, USA",48.9466041,-122.4569315,48.9315755,48.9647889,-122.5073049,-122.4018076
"7","Houston, USA",29.7589382,-95.3676974,29.5370705,30.1103506,-95.9097419,-95.0120525
"8","Raleigh, USA",35.7803977,-78.6390989,35.70825,35.971723,-78.8190461,-78.471053
"9","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"10","Kansas City, USA",39.100105,-94.5781416,38.827176,39.356662,-94.765917,-94.385522
"11","Fort Worth, USA",32.753177,-97.3327459,32.551584,33.049529,-97.592388,-97.0335808
"12","Atlanta, USA",33.7490987,-84.3901849,33.647808,33.886823,-84.551068,-84.28956
"13","Imperial, USA",33.0305487,-115.3595666,32.6184031,33.4338267,-116.1062735,-114.4627897
"14","Ocala, USA",29.1871986,-82.1400923,29.1209142,29.233731,-82.2517933,-82.0619973
"15","El Paso, USA",31.7600372,-106.487287,31.6224579,32.001484,-106.6357782,-106.1991528
"16","Decatur, USA",39.8454163,-88.9524151,39.7867965,39.9249642,-89.0323691,-88.8032028
"17","Ventura, USA",34.364744,-119.310582304204,34.358589,34.370909,-119.31248,-119.30701
"18","Vista, USA",33.2000368,-117.2425355,33.1311039,33.2388944,-117.288252,-117.192687
"19","Elizabethton, USA",36.3487196,-82.2106876,36.295112,36.376684,-82.32279,-82.164327
"20","Bakersfield, USA",35.3738712,-119.0194639,35.193979,35.447975,-119.265033,-118.772341
"21","Franklin, USA",37.9765409,-88.9335327,37.862227,38.127242,-89.1793937,-88.7037087
"22","San Antonio, USA",29.4246002,-98.4951405,29.1862572,29.7309623,-98.8131865,-98.2230029
"23","Glendale, USA",34.192912,-118.246248614754,34.118761,34.26719,-118.307849,-118.182005
"24","Aberdeen, USA",46.975371,-123.815722,46.9436178,47.02059,-123.8605036,-123.680727
"25","Bluefield, USA",37.2526133,-81.2713436,37.211267,37.2609955,-81.330541,-81.225104
"26","Honolulu, USA",21.304547,-157.8556764,21.249038,21.401987,-157.954869,-157.647857
"27","Charleston, USA",32.7876012,-79.9402728,32.668505,32.973515,-80.1438459,-79.797064
"28","Long Beach, USA",33.78538945,-118.158049315311,33.6905847,33.8855951,-118.248966,-118.0632825
"29","Los Angeles, USA",34.0536909,-118.2427666,33.7036216,34.337306,-118.6681867,-118.1552947
"30","Newport, USA",41.4899827,-71.3137707,41.448967,41.523208,-71.363448,-71.2856084
"31","Waynesville, USA",35.4887476,-82.9888725,35.450779,35.528897,-83.037636,-82.963528
"32","Angola, USA",41.634874,-84.99928,41.617198,41.679145,-85.037364,-84.969898
"33","Santa Cruz, USA",36.9749416,-122.0285259,36.9480824,37.0251538,-122.151298,-121.986759
"34","Indianapolis, USA",39.7683331,-86.1583502,39.6083331,39.9283331,-86.3183502,-85.9983502
"35","Kalispell, USA",48.2022563,-114.3167117,48.139024,48.284487,-114.373904,-114.268812
"36","Laramie, USA",41.311367,-105.591101,41.2774198,41.335813,-105.6972892,-105.5281902
"37","Rosemont, USA",41.9941334,-87.8756737,41.9738209,42.009623,-87.8970844,-87.8554997
"38","Austin, USA",30.2711286,-97.7436995,30.0984576,30.5166255,-97.9367663,-97.5605292
"39","Fairmont, USA",39.4850848,-80.1425781,39.425949,39.506492,-80.213187,-80.104803
"40","Anchorage, USA",61.2163129,-149.8948523,60.733788,61.483938,-150.420615,-148.460007
"41","Reno, USA",39.52927,-119.8136744,39.392426,39.723436,-120.002338,-119.699345
"42","Tampa, USA",27.9477595,-82.458444,27.8212598,28.1713602,-82.5864954,-82.2538678
"43","Tampa, USA",27.9477595,-82.458444,27.8212598,28.1713602,-82.5864954,-82.2538678
"44","Santa Clara, USA",37.3541132,-121.9551744,37.32292,37.418941,-122.005556,-121.9297085
"45","Arlington, USA",32.701939,-97.105624826688,32.586565,32.817121,-97.233818,-97.037008
"46","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"47","Vancouver, Canada",49.2608724,-123.1139529,49.1984452,49.3161714,-123.2249611,-123.0232419
"48","Oklahoma City, USA",35.4729886,-97.5170536,35.290695,35.674752,-97.833675,-97.124718
"49","Atlanta, USA",33.7490987,-84.3901849,33.647808,33.886823,-84.551068,-84.28956
"50","Dayton, USA",39.7589478,-84.1916069,39.70185,39.920823,-84.311377,-84.092938
"51","Murray, USA",36.6103334,-88.314761,36.571819,36.662035,-88.361249,-88.285669
"52","Yuba City, USA",39.1404477,-121.6169108,39.087183,39.175451,-121.688874,-121.597591
"53","Davenport, USA",41.5236436,-90.5776368,41.4604772,41.6202927,-90.6879323,-90.4908246
"54","Huntington Beach, USA",33.6783336,-118.0000166,33.628892,33.7561955,-118.08247,-117.9403791
"55","Topeka, USA",39.049011,-95.677556,38.917193,39.1094,-95.812263,-95.6019399
"56","San Antonio, USA",29.4246002,-98.4951405,29.1862572,29.7309623,-98.8131865,-98.2230029
"57","El Paso, USA",31.7600372,-106.487287,31.6224579,32.001484,-106.6357782,-106.1991528
"58","Northridge, USA",34.2285918,-118.5369316,34.2203725,34.2576642,-118.5645203,-118.4914573
"59","Bakersfield, USA",35.3738712,-119.0194639,35.193979,35.447975,-119.265033,-118.772341
"60","Allentown, USA",40.6022059,-75.4712794,40.5499752,40.6361993,-75.5480852,-75.4193521
"61","Oklahoma City, USA",35.4729886,-97.5170536,35.290695,35.674752,-97.833675,-97.124718
"62","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"63","D'lberville, USA",30.394087,-88.9994786,30.394037,30.394137,-88.9995286,-88.9994286
"64","South Lake Tahoe, USA",38.9332411,-119.9843482,38.881206,38.9764031,-120.022942,-119.932198
"65","Haymarket, USA",38.8121398,-77.6368038,38.8049,38.819473,-77.646549,-77.626124
"66","Kennewick, USA",46.2083948,-119.1202072,46.160835,46.2401577,-119.2670002,-119.087144
"67","Indianapolis, USA",39.7683331,-86.1583502,39.6083331,39.9283331,-86.3183502,-85.9983502
"68","Haymarket, USA",38.8121398,-77.6368038,38.8049,38.819473,-77.646549,-77.626124
"69","Glendale, USA",34.192912,-118.246248614754,34.118761,34.26719,-118.307849,-118.182005
"70","San Antonio, USA",29.4246002,-98.4951405,29.1862572,29.7309623,-98.8131865,-98.2230029
"71","Colorado Springs, USA",38.8339578,-104.8253485,38.7154517,39.0351247,-104.9170862,-104.5999135
"72","Anaheim, USA",33.8347516,-117.911732,33.7889241,33.8790572,-118.0174211,-117.6735595
"73","Springfield, USA",39.7990175,-89.6439575,39.653656,39.87417,-89.773182,-89.56851
"74","Port St Lucie, USA",27.2939333,-80.3503283,27.2055643,27.3744233,-80.481303,-80.2442686
"75","San Deigo, USA",32.71612585,-117.156008398043,32.7158457,32.7164368,-117.1563674,-117.1557873
"76","Florence, USA",34.79981,-87.677251,34.7790447,34.8911749,-87.7224774,-87.575818
"77","Buffalo, USA",42.8867166,-78.8783922,42.8260387,42.9664686,-78.9194528,-78.7951677
"78","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"79","Brownsville, USA",25.9140256,-97.4890856,25.84019,26.2175148,-97.6445529,-97.2736409
"80","Murray, USA",36.6103334,-88.314761,36.571819,36.662035,-88.361249,-88.285669
"81","Atlanta, USA",33.7490987,-84.3901849,33.647808,33.886823,-84.551068,-84.28956
"82","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
"83","Springfield, USA",39.7990175,-89.6439575,39.653656,39.87417,-89.773182,-89.56851
"84","Dayton, USA",39.7589478,-84.1916069,39.70185,39.920823,-84.311377,-84.092938
"85","Georgetown, USA",38.2097967,-84.5588311,38.176925,38.277944,-84.602072,-84.504192
"86","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"87","Grass Valley, USA",39.2086655,-121.053123077412,39.208076,39.209079,-121.053803,-121.052644
"88","Rancho Cucamonga, USA",34.1033192,-117.5751735,34.0771515,34.1712827,-117.6368438,-117.4787769
"89","San Antonio, USA",29.4246002,-98.4951405,29.1862572,29.7309623,-98.8131865,-98.2230029
"90","Vacaville, USA",38.3565773,-121.9877444,38.3083067,38.418291,-122.032454,-121.8949061
"91","Long Beach, USA",33.78538945,-118.158049315311,33.6905847,33.8855951,-118.248966,-118.0632825
"92","Milton, USA",42.2501425,-71.065573,42.2007053,42.278046,-71.1307491,-71.0314587
"93","Hickory, USA",35.7333312,-81.3442915,35.655359,35.807211,-81.403407,-81.23459
"94","Tampa, USA",27.9477595,-82.458444,27.8212598,28.1713602,-82.5864954,-82.2538678
"95","Casper, USA",42.866632,-106.313081,42.742942,42.907532,-106.434966,-106.215706
"96","Northport, USA",40.9040576,-73.3420169301887,40.888472,40.919297,-73.361062,-73.3265027
"97","Fort Worth, USA",32.753177,-97.3327459,32.551584,33.049529,-97.592388,-97.0335808
"98","Honolulu, USA",21.304547,-157.8556764,21.249038,21.401987,-157.954869,-157.647857
"99","Bakersfield, USA",35.3738712,-119.0194639,35.193979,35.447975,-119.265033,-118.772341
"100","Wichita, USA",37.6922361,-97.3375448,37.489018,37.8402,-97.734362,-97.153003
"101","Phoenix, USA",33.4485866,-112.0773456,33.2903739,33.9183794,-112.3240289,-111.9255201
"102","Waynesville, USA",35.4887476,-82.9888725,35.450779,35.528897,-83.037636,-82.963528
"103","Anchorage, USA",61.2163129,-149.8948523,60.733788,61.483938,-150.420615,-148.460007
"104","San Diego, USA",32.7174209,-117.1627714,32.5347839,33.114249,-117.3098053,-116.9057226
"105","Spring, USA",30.0798826,-95.4172549,30.0398826,30.1198826,-95.4572549,-95.3772549
"106","Williston, USA",48.1465457,-103.621814,48.132554,48.24476,-103.712359,-103.561031
"107","Grove, USA",39.4368331,-123.6594578,39.4168331,39.4568331,-123.6794578,-123.6394578
"108","Fairmont, USA",39.4850848,-80.1425781,39.425949,39.506492,-80.213187,-80.104803
"109","El Paso, USA",31.7600372,-106.487287,31.6224579,32.001484,-106.6357782,-106.1991528
"110","Des Moines, USA",41.5910641,-93.6037149,41.4796389,41.6589106,-93.7091754,-93.4936911
"111","Des Moines, USA",41.5910641,-93.6037149,41.4796389,41.6589106,-93.7091754,-93.4936911
"112","Franklin, USA",37.9765409,-88.9335327,37.862227,38.127242,-89.1793937,-88.7037087
"113","Franklin, USA",37.9765409,-88.9335327,37.862227,38.127242,-89.1793937,-88.7037087
"114","Atlanta, USA",33.7490987,-84.3901849,33.647808,33.886823,-84.551068,-84.28956
"115","Atlanta, USA",33.7490987,-84.3901849,33.647808,33.886823,-84.551068,-84.28956
"116","Ogden, USA",41.2230048,-111.9738429,41.160109,41.285993,-112.0255709,-111.920381
"117","Ogden, USA",41.2230048,-111.9738429,41.160109,41.285993,-112.0255709,-111.920381
"118","Allentown, USA",40.6022059,-75.4712794,40.5499752,40.6361993,-75.5480852,-75.4193521
"119","Florence, USA",34.79981,-87.677251,34.7790447,34.8911749,-87.7224774,-87.575818
"120","San Jose, USA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"121","Parker, USA",39.5184514,-104.7612638,39.450015,39.5662488,-104.8215269,-104.7084852
"122","Vinton, USA",39.2744355,-82.4740302,39.028297,39.396015,-82.762924,-82.25972
"123","Vinton, USA",39.2744355,-82.4740302,39.028297,39.396015,-82.762924,-82.25972
"124","Texas City, USA",29.383845,-94.9027002,29.300965,29.566376,-95.078276,-94.714285
"125","Kapolei, USA",21.3339504,-158.0771853,21.1739504,21.4939504,-158.2371853,-157.9171853
"126","Macedonia, USA",37.8259601,-75.6046502,37.8059601,37.8459601,-75.6246502,-75.5846502
"127","Oklahoma City, USA",35.4729886,-97.5170536,35.290695,35.674752,-97.833675,-97.124718
"128","Frederick, USA",39.4142186,-77.4109269,39.3926326,39.475677,-77.478087,-77.359292
"129","Tampa, USA",27.9477595,-82.458444,27.8212598,28.1713602,-82.5864954,-82.2538678
"130","Westlake Village, USA",34.1460234,-118.8061794,34.110187,34.1682297,-118.8564629,-118.7888917
"131","Southaven, USA",34.9889818,-90.0125913,34.902816,34.995084,-90.079466,-89.918613
"132","Las Vegas, USA",36.1662859,-115.149225,36.129554,36.380491,-115.414628,-115.062066
